"1","2020-01-31","Push","1","1"
"2","2020-02-20","ABS","2","3"
"3","2020-01-22","Pull","3","3"
"1","Kraków","Bratysławska 4","31-201"
"2","Kraków","Aleja Pokoju 16","31-564"
"3","Kraków","Stawowa 61","31-464"
"4","Poznań","Bonusa 12","54-098"
"1","Platinium Bratysławska","1"
"2","Platinium Aleja Pokoju","2"
"3","Platinium Bronowice","3"
"4","Poznań Dworzec","4"
"1","Milka","Gymfreak"
"2","Filip","Witek"
"3","Bartłomiej","Światłoń"
"52","6","3"
"51","6","2"
"50","2","3"
"49","2","2"
"5","Julka","Sałek",,,"ROLE_USER"
"3","Admin","ADMIN","admin@pk.pl","admin","ROLE_ADMIN"
